timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_recv,packets,duration_ms,flags,label
2024-01-15 10:00:01,192.168.1.10,10.0.0.5,54321,80,TCP,1200,3400,15,220,SYN-ACK,Reconnaissance
2024-01-15 10:00:03,192.168.1.10,10.0.0.5,54322,443,TCP,800,2200,10,180,SYN-ACK,Reconnaissance
2024-01-15 10:00:05,192.168.1.10,10.0.0.7,54323,22,TCP,400,900,6,120,SYN,Reconnaissance
2024-01-15 10:00:08,192.168.1.10,10.0.0.5,54324,80,TCP,15000,42000,120,3200,ACK-PSH,Initial Access
2024-01-15 10:00:10,192.168.1.10,10.0.0.5,54325,80,TCP,22000,58000,180,4100,ACK-PSH,Initial Access
2024-01-15 10:00:12,192.168.1.10,10.0.0.5,54326,80,TCP,95000,12000,450,7200,ACK-PSH,Execution
2024-01-15 10:00:14,192.168.1.10,10.0.0.5,54327,445,TCP,180000,45000,600,9500,ACK-PSH,Execution
2024-01-15 10:00:16,192.168.1.10,10.0.0.9,54328,3389,TCP,250000,80000,780,12000,ACK-PSH,Lateral Movement
2024-01-15 10:00:18,192.168.1.10,10.0.0.9,54329,3389,TCP,320000,110000,950,15000,ACK-PSH,Lateral Movement
2024-01-15 10:00:20,192.168.1.10,10.0.0.9,54330,445,TCP,410000,150000,1200,18000,ACK-PSH,Privilege Escalation
2024-01-15 10:00:23,192.168.1.10,10.0.0.9,54331,445,TCP,520000,200000,1500,22000,ACK-PSH,Privilege Escalation
2024-01-15 10:00:25,192.168.1.10,10.0.0.9,54332,445,TCP,680000,280000,1800,26000,ACK-PSH,Exfiltration
2024-01-15 10:00:28,192.168.1.10,10.0.0.9,54333,443,TCP,750000,320000,2100,30000,ACK-PSH,Exfiltration
2024-01-15 10:00:30,192.168.1.10,8.8.8.8,54334,443,TCP,890000,400000,2400,34000,ACK-PSH,Exfiltration
